ID;residual sugar;chlorides;flavanoids;free sulfur dioxide;total sulfur dioxide;density;pH;magnesium;sulphates;alcohol;lightness;quality
1338;6,4;0,048;0,38;40;251;0,9956;3,29;0,36;0,52;10;0,11;5
1339;6,4;0,048;0,38;40;251;0,9956;3,29;0,58;0,52;10;0,11;5
1340;12,15;0,033;0,38;37;116;0,9959;2,99;0,28;0,39;10,8;0,1;6
1341;0,8;0,04;0,38;50;121;0,9922;3,27;0,55;0,33;10;0,12;6
1342;2;0,029;0,38;13;151;0,9931;3,04;0,36;0,33;10,4;0,12;5
1343;12,15;0,033;0,38;37;116;0,9959;2,99;0,54;0,39;10,8;0,11;6
1344;12,4;0,059;0,38;52;181;0,9984;3,51;0,49;0,47;9,8;0,11;6
1345;1,9;0,041;0,38;51;165;0,9908;3,26;0,15;0,4;12,2;0,08;8
1346;1,1;0,043;0,38;36;113;0,991;3,39;0,84;0,48;12,7;0,09;8
1347;6,2;0,039;0,38;46;163;0,9928;3,21;0,08;0,35;12,2;0,09;7
1348;6,3;0,039;0,38;35;162;0,9936;3,15;0,86;0,34;11,9;0,1;7
1349;7;0,042;0,38;38;161;0,9941;3,26;0,93;0,37;11,2;0,1;8
1350;0,9;0,042;0,38;15;61;0,9924;2,96;0,77;0,28;10,4;0,11;4
1351;3,9;0,034;0,38;22;122;0,9917;3,29;0,05;0,67;12,8;0,09;7
1352;3,9;0,027;0,38;40;130;0,9906;3,28;0,49;0,39;12,7;0,08;7
1353;2,3;0,047;0,38;60;189;0,995;3,65;0,62;0,72;10,1;0,12;6
1354;6,4;0,048;0,38;40;251;0,9956;3,29;0,07;0,52;10;0,1;5
1355;1,8;0,04;0,38;43;179;0,9955;3,43;0,21;0,41;9;0,12;5
1356;1,1;0,04;0,38;38;143;0,9907;2,92;0,96;0,42;11,4;0,1;5
1357;15,4;0,05;0,38;55;191;1;3,32;0,97;0,59;8,9;0,13;6
1358;6,5;0,039;0,38;43;167;0,9953;3,15;0,60;0,44;9,3;0,12;6
1359;2,4;0,048;0,38;35;103;0,9911;3,28;0,64;0,46;12;0,1;8
1360;1,4;0,04;0,38;31;132;0,9922;3,36;0,07;0,54;10,8;0,11;7
1361;5,7;0,044;0,38;56;158;0,9951;3,52;0,93;0,37;10,5;0,11;6
1362;5,7;0,038;0,38;56;189,5;0,9948;3,59;0,57;0,43;10,6;0,11;7
1363;1,4;0,04;0,38;42;115;0,9906;3,19;0,84;0,48;11,3;0,11;7
1364;1,4;0,051;0,38;15;96;0,994;3,22;0,22;0,38;9,5;0,11;4
1365;1,1;0,04;0,38;38;143;0,9907;2,92;0,08;0,42;11,4;0,1;5
1366;1,2;0,046;0,38;35;140;0,9927;3,33;0,85;0,33;10,1;0,11;7
1367;0,9;0,037;0,38;22;95;0,9914;3,25;0,50;0,43;10,9;0,11;6
1368;3,8;0,058;0,38;19;115;0,9958;3,15;0,81;0,45;8,9;0,12;5
1369;15,4;0,05;0,38;55;191;1;3,32;0,09;0,59;8,9;0,12;6
1370;14,15;0,168;0,38;42;185;0,9984;2,9;0,20;0,49;9,3;0,12;5
1371;1,9;0,052;0,38;23;116;0,9941;3,25;0,76;0,4;10,4;0,1;6
1372;9,2;0,042;0,38;41;162;0,9944;3,1;0,47;0,38;12;0,09;7
1373;8,2;0,044;0,38;37;181;0,998;2,87;0,19;0,68;9,5;0,12;6
1374;8,2;0,044;0,38;37;181;0,998;2,87;0,34;0,68;9,5;0,12;6
1375;2,7;0,032;0,38;24;121;0,9902;3,14;0,31;0,38;12,4;0,1;7
1376;1,7;0,032;0,38;30;130;0,9911;3,28;0,76;0,41;11,2;0,11;7
1377;1,7;0,047;0,38;6;134;0,9929;3,15;0,93;0,69;11,4;0,1;6
1378;1,7;0,05;0,38;10;136;0,993;3,16;0,62;0,71;11,4;0,09;6
1379;1,6;0,047;0,38;46;132;0,9918;3,35;0,98;0,38;11,1;0,09;7
1380;0,9;0,054;0,38;5;126;0,992;3,1;0,05;0,42;10,4;0,11;6
1381;8,5;0,044;0,38;36;152;0,9932;3,38;0,26;0,35;12;0,08;7
1382;5,7;0,039;0,38;24;98;0,992;3,54;0,75;0,61;12,3;0,09;7
1383;3,1;0,045;0,38;28;92;0,994;3,12;0,79;0,35;9,1;0,12;6
1384;1,3;0,046;0,38;25;102;0,9923;3,24;0,16;0,33;10,5;0,11;6
1385;1,6;0,047;0,38;5;133;0,993;3,23;0,98;0,7;11,4;0,11;6
1386;1,3;0,042;0,38;26;138;0,9956;3,77;0,37;0,64;9,5;0,11;5
1387;4,5;0,039;0,38;17;116;0,9907;3,42;0,05;0,9;13,7;0,08;7
1388;2,8;0,034;0,38;15;85;0,99;3,28;0,91;0,51;13,4;0,09;6
1389;1,2;0,044;0,38;12;143;0,9918;3,2;0,70;0,48;11,3;0,1;7
1390;0,9;0,037;0,38;73;180;0,9926;3,06;0,89;0,34;10;0,11;6
1391;7,4;0,034;0,38;33;123;0,995;3,49;0,45;0,42;10,1;0,11;6
1392;1,4;0,029;0,38;23;81;0,99;3,26;0,36;0,42;12,2;0,1;6
1393;2,8;0,034;0,38;15;85;0,99;3,28;0,12;0,51;13,4;0,08;6
1394;4,6;0,042;0,38;19;101;0,9946;3,31;0,88;0,42;9,3;0,13;6
1395;4,5;0,039;0,38;17;116;0,9907;3,42;0,69;0,9;13,7;0,09;7
1396;1,6;0,039;0,38;27;98;0,9898;3,09;0,83;0,46;12,3;0,09;7
1397;1,2;0,044;0,38;12;143;0,9918;3,2;0,32;0,48;11,3;0,1;7
1398;13,1;0,05;0,38;35;200;0,9986;3,04;0,82;0,46;8,9;0,12;7
1399;13,1;0,05;0,38;35;200;0,9986;3,04;0,90;0,46;8,9;0,13;7
1400;5,7;0,035;0,38;32;83;0,9928;3,19;0,14;0,46;11,5;0,09;6
1401;13,1;0,05;0,38;35;200;0,9986;3,04;0,82;0,46;8,9;0,12;7
1402;12,6;0,052;0,38;57;222;0,9979;3,17;0,33;0,52;9,3;0,12;6
1403;5,4;0,044;0,38;31;122;0,994;3,3;0,51;0,5;11,1;0,1;8
1404;2,2;0,044;0,38;29;128;0,9937;3,34;0,28;0,64;10,9;0,1;8
1405;6,6;0,043;0,38;11;73;0,9938;2,9;0,21;0,38;11,6;0,1;5
1406;6,9;0,069;0,38;9;117;0,9942;3,15;0,92;0,35;10,2;0,11;4
1407;6,8;0,034;0,38;12;90;0,9944;3,01;0,35;0,38;10,5;0,11;8
1408;3,6;0,033;0,38;16;78;0,993;2,91;0,22;0,78;11,4;0,09;6
1409;13,1;0,05;0,38;35;200;0,9986;3,04;0,68;0,46;8,9;0,11;7
1410;1,2;0,04;0,38;29;118;0,9932;3,14;0,63;0,41;10,6;0,1;6
1411;5,9;0,037;0,38;39;97;0,9934;3,31;0,92;0,4;11,6;0,1;6
1412;5,7;0,035;0,38;32;83;0,9928;3,19;0,47;0,46;11,5;0,1;6
1413;4,1;0,035;0,38;26;155;0,9925;3,25;0,16;0,79;12,3;0,08;8
1414;7,1;0,042;0,38;22;124;0,9944;3,14;0,71;0,41;10,8;0,11;6
1415;1,4;0,037;0,38;55;130;0,9909;3,29;0,10;0,38;11,3;0,09;6
1416;0,8;0,038;0,38;22;63;0,9932;3,36;0,83;0,36;9,3;0,11;5
1417;1,3;0,045;0,38;16;128;0,9934;3,36;0,14;0,6;10;0,1;6
1418;15,55;0,057;0,38;35,5;366,5;1,0001;3,04;0,07;0,63;11;0,1;3
1419;1;0,044;0,38;18;132;0,992;3,13;0,59;0,55;10,2;0,1;5
1420;1,6;0,04;0,38;27;103;0,9916;3,07;0,81;0,4;10,8;0,1;7
1421;11,8;0,042;0,38;29;137;0,998;3,1;0,99;0,34;10,1;0,11;4
1422;4,5;0,047;0,38;17;90;0,9919;3,27;0,17;0,37;11,6;0,1;6
1423;1,1;0,051;0,38;25;105;0,9925;3,32;0,52;0,47;9,1;0,11;5
1424;10;0,056;0,38;36;225;0,9977;3,06;0,97;0,43;10;0,1;4
1425;7,1;0,042;0,38;22;124;0,9944;3,14;0,53;0,41;10,8;0,1;6
1426;0,9;0,052;0,38;26;128;0,991;3,25;0,74;0,35;11,4;0,1;6
1427;1;0,045;0,38;34;140;0,99;3,05;0,92;0,34;12,7;0,08;6
1428;1,1;0,042;0,38;35;156;0,9917;3,13;0,74;0,55;11,3;0,11;5
1429;1,1;0,033;0,38;28;81;0,9923;3;0,11;0,68;10,4;0,1;7
1430;1,5;0,051;0,38;18;87;0,9928;3,3;0,73;0,46;9,6;0,11;5
1431;1;0,048;0,38;8;119;0,9923;3;0,43;0,31;10,1;0,1;4
1432;1,5;0,051;0,38;18;87;0,9928;3,3;0,28;0,46;9,6;0,1;5
1433;2,9;0,03;0,38;16;94;0,9902;3,1;0,88;0,49;12,1;0,08;7
1434;1,2;0,031;0,38;32;99;0,9893;3,07;0,18;0,33;12,2;0,09;6
1435;1,1;0,042;0,38;35;156;0,9917;3,13;0,32;0,55;11,3;0,1;5
1436;14,2;0,053;0,38;19;94;0,9982;3,17;0,56;0,5;9,6;0,12;5
1437;17,85;0,051;0,38;51;243;1,0005;2,99;0,53;0,7;9,2;0,12;5
1438;1,1;0,033;0,38;28;81;0,9923;3;0,90;0,68;10,4;0,1;7
1439;7,1;0,05;0,38;67;210;0,9951;3,23;0,84;0,34;9,5;0,11;5
1440;7,6;0,052;0,38;67;226;0,9956;3,16;0,69;0,47;8,9;0,12;5
1441;13,6;0,05;0,38;56;162;0,998;3,03;0,76;0,44;8,8;0,13;5
1442;1,4;0,057;0,38;17;117;0,9928;3,16;0,33;0,35;10,5;0,11;5
1443;1,2;0,061;0,38;27;117;0,9938;3,08;0,47;0,34;9,4;0,12;5
1444;5,3;0,04;0,38;34;125;0,9914;3,24;0,64;0,4;12,2;0,1;6
1445;13;0,033;0,38;37;158;0,9955;3,14;0,38;0,35;11,3;0,1;6
1446;4,45;0,044;0,38;33;130;0,9924;3,25;0,55;0,42;12,2;0,09;6
1447;1,2;0,063;0,38;35;92;0,9911;3,38;0,76;0,42;12,2;0,09;6
1448;1,2;0,055;0,38;18;150;0,9917;3,23;0,03;0,47;11,2;0,09;6
1449;1,2;0,055;0,38;18;150;0,9917;3,23;0,92;0,47;11,2;0,09;6
1450;6,6;0,036;0,38;49;172;0,9932;3,2;0,59;0,27;11,5;0,1;6
1451;13;0,033;0,38;37;158;0,9955;3,14;0,75;0,35;11,3;0,1;6
1452;1,1;0,048;0,38;11;138;0,9929;3,01;0,99;0,42;9,3;0,11;5
1453;13;0,033;0,38;37;158;0,9955;3,14;0,11;0,35;11,3;0,09;6
1454;14;0,034;0,38;37;156;0,9958;3,14;0,18;0,38;11,8;0,1;7
1455;19,8;0,054;0,38;50;231;1,0012;2,99;0,81;0,54;9,2;0,12;5
1456;11,2;0,069;0,38;44;150;0,9968;3;0,50;0,81;9,2;0,13;5
1457;1,2;0,063;0,38;35;92;0,9911;3,38;0,84;0,42;12,2;0,08;6
1458;4,45;0,044;0,38;33;130;0,9924;3,25;0,27;0,42;12,2;0,08;6
1459;2,7;0,044;0,38;42;144;0,991;3,31;0,90;0,41;12,2;0,09;6
1460;4,5;0,048;0,38;27;133;0,9946;3,24;0,27;0,42;10,6;0,1;6
1461;3,6;0,05;0,38;29;128;0,9928;3,28;0,31;0,4;12,4;0,1;6
1462;5,4;0,048;0,38;54;164;0,9946;3,56;0,68;0,44;10,8;0,11;6
1463;1,2;0,055;0,38;18;150;0,9917;3,23;0,87;0,47;11,2;0,11;6
1464;1,2;0,051;0,38;11;137;0,9918;3,06;0,07;0,46;11;0,1;6
1465;9,1;0,031;0,38;46;151;0,9926;3,16;0,46;0,27;12,7;0,08;8
1466;0,8;0,044;0,38;19;163;0,9931;3,46;0,21;0,53;10,2;0,1;5
1467;6,6;0,036;0,38;49;172;0,9932;3,2;0,55;0,27;11,5;0,09;6
1468;3;0,03;0,38;30;96;0,9903;3,13;0,67;0,39;12,3;0,08;7
1469;1,6;0,046;0,38;15;60;0,9928;3,19;0,93;0,39;9,8;0,11;5
1470;1,1;0,048;0,38;11;138;0,9929;3,01;0,34;0,42;9,3;0,11;5
1471;14;0,034;0,38;37;156;0,9958;3,14;0,32;0,38;11,8;0,09;7
1472;13;0,033;0,38;37;158;0,9955;3,14;0,54;0,35;11,3;0,1;6
1473;1,35;0,052;0,38;6;48;0,9911;3,15;0,89;0,28;11,4;0,1;5
1474;5,9;0,038;0,38;39;128;0,9938;3,21;0,98;0,48;10,8;0,1;6
1475;3,6;0,057;0,38;13;85;0,9942;2,99;0,79;0,48;9,5;0,12;4
1476;1,3;0,05;0,38;18;148;0,9945;3,46;0,54;0,44;10,2;0,11;6
1477;8,7;0,028;0,38;40;184;0,9962;3,22;0,69;0,36;10,7;0,11;5
1478;1,2;0,04;0,38;10;104;0,992;3,05;0,25;0,29;10,8;0,1;6
1479;4,6;0,044;0,38;39;159;0,9927;2,99;0,77;0,28;11,5;0,09;6
1480;2;0,056;0,38;20;124;0,9948;3,32;0,79;0,49;10,7;0,1;6
1481;1,3;0,05;0,38;18;148;0,9945;3,46;0,58;0,44;10,2;0,1;6
1482;1,7;0,048;0,38;26;124;0,9942;3,37;0,61;0,6;10,1;0,12;6
1483;2,4;0,046;0,38;57;187;0,9952;3,62;0,27;0,81;10,4;0,11;6
1484;3,6;0,057;0,38;13;85;0,9942;2,99;0,55;0,48;9,5;0,11;4
1485;4,6;0,053;0,38;8;134;0,9958;3,14;0,35;0,5;9,1;0,13;3
1486;1,5;0,034;0,38;20;126;0,9918;2,98;0,50;0,39;10,6;0,1;6
1487;0,9;0,033;0,38;17;51;0,9932;3,3;0,24;0,7;9,4;0,11;6
1488;19,4;0,054;0,38;44;169;1,0004;3,51;0,22;0,45;9,8;0,1;6
1489;13,3;0,044;0,38;68;224;0,9972;3,18;0,21;0,54;9,5;0,11;6
1490;17,85;0,037;0,38;52;187;0,9998;2,99;0,44;0,41;9,3;0,12;5
1491;1,1;0,03;0,38;28;117;0,9918;3,55;0,91;0,45;10,3;0,12;6
1492;1,3;0,031;0,38;8;97;0,9918;3,06;0,13;0,62;11,1;0,1;5
1493;9,4;0,046;0,38;47;188;0,9964;3,14;0,71;0,48;10;0,11;5
1494;9;0,033;0,38;39;180;0,9936;3,13;0,26;0,38;12,3;0,1;8
1495;8,65;0,033;0,38;42;186;0,9931;3,14;0,90;0,38;12,4;0,09;8
1496;9,6;0,03;0,38;45;197;0,9938;3,13;0,96;0,38;12,3;0,1;7
1497;1,1;0,039;0,38;6;62;0,9934;3,41;0,75;0,32;10,4;0,1;5
1498;1,2;0,044;0,38;35;126;0,99;3,13;0,86;0,48;12,1;0,09;7
1499;1,8;0,041;0,38;23;86;0,9914;3,16;0,01;0,42;12,5;0,08;6
1500;2,1;0,043;0,38;14;155;0,9904;3,22;0,58;0,6;13;0,09;6
1501;9,3;0,03;0,38;26;132;0,994;2,99;0,94;0,32;11;0,1;7
1502;1,7;0,04;0,38;34;169;0,9938;3,05;0,16;0,37;10,1;0,11;5
1503;1,2;0,034;0,38;17;121;0,9933;3,13;0,59;0,36;9,2;0,12;5
1504;4,6;0,039;0,38;24;124;0,9909;3,27;0,75;0,34;12,6;0,1;7
1505;12,8;0,045;0,38;24;126;0,9942;3,26;0,37;0,38;12,2;0,09;8
1506;1,5;0,041;0,38;39;130;0,9945;3,04;0,46;0,49;9,8;0,1;7
1507;8,1;0,051;0,38;51;205;0,9954;3,1;0,73;0,52;11;0,1;6
1508;7,5;0,044;0,38;59;160;0,996;3,22;0,47;0,64;10;0,11;6
1509;14,5;0,06;0,38;50;170;0,9991;3,55;0,33;0,44;9,8;0,12;6
1510;1,6;0,053;0,38;15;144;0,993;3,16;0,74;0,47;10,5;0,1;5
1511;1,8;0,061;0,38;10;145;0,9942;3,23;0,94;0,48;10;0,11;5
1512;3,2;0,042;0,38;15;126;0,9934;3,02;0,32;0,51;11,2;0,09;6
1513;9,4;0,034;0,38;29;134;0,9939;2,99;0,64;0,32;11;0,11;7
1514;9,9;0,031;0,38;48;161;0,9937;3,01;0,74;0,28;11,2;0,11;6
1515;9,3;0,03;0,38;26;132;0,994;2,99;0,02;0,32;11;0,1;7
1516;1,3;0,039;0,38;34;136;0,9926;3,14;0,57;0,77;10,5;0,1;6
1517;9,6;0,037;0,38;53;154;0,9951;3,02;0,40;0,33;10,6;0,11;6
1518;9,3;0,038;0,38;52;163;0,9952;3,02;0,58;0,33;10,6;0,1;6
1519;7,8;0,035;0,38;22;95;0,9935;3,04;0,84;0,34;12;0,1;6
1520;1,7;0,04;0,38;34;169;0,9938;3,05;0,58;0,37;10,1;0,11;5
1521;1,7;0,038;0,38;38;167;0,9939;3,05;0,47;0,37;10,1;0,11;6
1522;1,2;0,034;0,38;17;121;0,9933;3,13;0,03;0,36;9,2;0,12;5
1523;1,4;0,041;0,38;15;164;0,9927;3,25;0,18;0,63;11;0,1;5
1524;9;0,044;0,38;31;185;0,998;3,34;0,53;0,49;10;0,11;6
1525;18,15;0,042;0,38;41;158;0,9997;3,28;0,32;0,39;8,7;0,13;6
1526;12,5;0,037;0,38;47;156;0,9981;3,04;0,26;0,44;8,7;0,12;5
1527;1,1;0,037;0,38;33;156;0,992;3,15;0,31;0,54;11,1;0,11;6
1528;7,7;0,045;0,38;48;195;0,9954;3,04;0,58;0,55;11;0,1;6
1529;1,1;0,037;0,38;33;156;0,992;3,15;0,62;0,54;11,1;0,1;6
1530;18,15;0,042;0,38;41;158;0,9997;3,28;0,83;0,39;8,7;0,12;6
1531;12,5;0,037;0,38;47;156;0,9981;3,04;0,04;0,44;8,7;0,13;5
1532;8,1;0,037;0,38;26;174;0,9943;3,1;0,20;0,3;11,2;0,09;7
1533;7,7;0,049;0,38;61;209;0,9941;3,14;0,86;0,3;11,1;0,09;7
1534;5;0,028;0,38;32;107;0,9936;3,24;0,72;0,54;10,8;0,1;6
1535;15,6;0,044;0,38;44;176;0,9996;3,38;0,19;0,67;9;0,12;6
1536;1,5;0,031;0,38;17;122;0,9932;3,03;0,62;0,4;10,3;0,1;6
1537;1;0,028;0,38;6;24;0,9926;2,91;0,96;0,32;9,9;0,11;5
1538;1;0,04;0,38;32;148;0,9936;3,13;0,13;0,41;10;0,12;6
1539;1;0,034;0,38;26;106;0,992;3,21;0,65;0,42;9,8;0,1;6
1540;5;0,028;0,38;32;107;0,9936;3,24;0,50;0,54;10,8;0,1;6
1541;15,6;0,044;0,38;44;176;0,9996;3,38;0,99;0,67;9;0,12;6
1542;0,8;0,029;0,38;29;86;0,993;3,16;0,32;0,32;9,1;0,12;4
1543;1,3;0,037;0,38;27;104;0,9924;3,23;0,48;0,57;10,6;0,1;6
1544;1,1;0,038;0,38;28;99;0,9928;3,2;0,67;0,72;10,6;0,11;6
1545;1;0,028;0,38;6;24;0,9926;2,91;0,43;0,32;9,9;0,1;5
1546;5,2;0,049;0,38;33;152;0,9952;3,18;0,34;0,47;10,6;0,1;6
1547;4,7;0,034;0,38;35;156;0,9945;3,13;0,46;0,45;9,9;0,12;6
1548;4,8;0,034;0,38;36;158;0,9945;3,12;0,49;0,45;9,9;0,11;6
1549;1,8;0,025;0,38;32;102;0,9903;3,34;0,54;0,59;12,8;0,08;6
1550;1,5;0,031;0,38;17;122;0,9932;3,03;0,24;0,4;10,3;0,11;6
1551;5,2;0,051;0,38;36;157;0,9953;3,18;0,23;0,48;10,6;0,11;6
1552;1,2;0,122;0,38;45;129;0,9936;3,09;0,15;0,31;8,7;0,13;6
1553;1,8;0,038;0,38;44;152;0,9912;3,32;0,76;0,44;12,6;0,08;7
1554;7,6;0,057;0,38;25;156;0,9962;3,43;0,90;0,63;11;0,1;7
1555;8,2;0,056;0,38;32;164;0,9965;3,29;0,82;0,6;11,2;0,11;7
1556;1,3;0,032;0,38;35;148;0,9932;3,45;0,75;0,57;10,7;0,11;7
1557;10;0,036;0,38;45;182;0,9967;3,08;0,36;0,58;9,6;0,11;6
1558;5,2;0,051;0,38;36;157;0,9953;3,18;0,35;0,48;10,6;0,11;6
1559;6,4;0,045;0,38;12;115;0,9963;3,27;0,94;0,57;9;0,12;4
1560;1;0,036;0,38;14;56;0,992;2,96;0,52;0,33;10,5;0,1;4
1561;1,8;0,033;0,38;33;156;0,991;3,29;0,73;0,52;12,8;0,09;6
1562;2;0,059;0,38;10;112;0,9958;3,15;0,53;0,46;10,1;0,11;5
1563;1,5;0,027;0,38;26;126;0,99;3,3;0,12;0,33;12,2;0,1;7
1564;1,8;0,033;0,38;33;156;0,991;3,29;0,64;0,52;12,8;0,09;6
1565;2;0,059;0,38;10;112;0,9958;3,15;0,52;0,46;10,1;0,1;5
1566;3,5;0,044;0,38;29;117;0,9938;3,14;0,28;0,51;10,1;0,11;6
1567;18,05;0,046;0,38;36;158;0,9996;3,06;0,11;0,41;9,2;0,12;5
1568;1,8;0,055;0,38;19;110;0,9946;3,33;0,36;0,44;9,9;0,1;5
1569;8,2;0,055;0,38;49;188;0,9974;3,52;0,02;0,58;9,7;0,12;6
1570;5;0,038;0,38;35;157;0,9945;3,21;0,00;0,46;9,9;0,11;5
1571;4,6;0,041;0,38;36;159;0,9946;3,21;0,49;0,45;9,9;0,12;5
1572;8,2;0,055;0,38;49;188;0,9974;3,52;0,02;0,58;9,7;0,12;6
1573;7;0,063;0,38;50;168;0,9957;3,54;0,18;0,5;10,3;0,11;6
1574;3,1;0,045;0,38;21;116;0,9931;3,16;0,72;0,35;10,3;0,1;5
1575;8,8;0,048;0,38;23;108;0,9947;2,88;0,33;0,34;10,5;0,1;4
1576;2,4;0,053;0,38;61;182;0,9953;3,63;0,22;0,76;10,5;0,11;6
1577;1,4;0,05;0,38;20;74;0,9931;3,32;0,31;0,44;9,8;0,1;6
1578;1,8;0,05;0,38;17;128;0,9946;3,31;0,17;0,58;10,6;0,11;4
1579;11,9;0,046;0,38;54;168;0,9978;3,58;0,42;0,68;10,1;0,1;5
1580;13,4;0,062;0,38;50;191;0,9989;3,22;0,89;0,53;9;0,11;4
1581;15,4;0,046;0,38;13;119;1,0004;3,18;0,26;0,45;9,5;0,12;5
1582;7,2;0,039;0,38;32;84;0,9938;2,94;0,74;0,32;11,5;0,1;6
1583;7,4;0,039;0,38;46;108;0,9934;3,03;0,32;0,33;11,9;0,09;7
1584;11,9;0,046;0,38;54;168;0,9978;3,58;0,72;0,68;10,1;0,1;5
1585;7,8;0,045;0,38;52;209;0,9956;3,21;0,01;0,42;9,2;0,11;6
1586;13,5;0,039;0,38;46;165;0,9982;3,02;0,06;0,4;8,7;0,12;5
1587;1,3;0,042;0,38;34;147;0,9948;3,11;0,54;0,46;9,8;0,12;5
1588;7,8;0,045;0,38;52;209;0,9956;3,21;0,88;0,42;9,2;0,12;6
1589;13,5;0,039;0,38;46;165;0,9982;3,02;0,48;0,4;8,7;0,13;5
1590;1,5;0,036;0,38;27;122;0,9926;3,35;0,35;0,48;11,2;0,09;6
1591;1,2;0,028;0,38;30;165;0,991;3,08;0,07;0,82;12,3;0,08;6
1592;6,4;0,042;0,38;49;161;0,9945;3,34;0,12;0,44;10,4;0,11;6
1593;1,2;0,047;0,38;25;111;0,9916;3,13;0,24;0,41;10,7;0,11;6
1594;7,3;0,043;0,38;9;63;0,9953;3,13;0,04;0,59;10,5;0,1;6
1595;3,8;0,047;0,38;37;136;0,9938;2,95;0,30;0,4;9,4;0,11;6
1596;7,3;0,046;0,38;53;206;0,9956;3,24;0,29;0,43;9,2;0,12;6
1597;2,7;0,034;0,38;56;122;0,9906;3,15;0,95;0,3;11,9;0,1;5
1598;7,3;0,046;0,38;53;206;0,9956;3,24;0,28;0,43;9,2;0,12;6
1599;1,4;0,172;0,38;24;108;0,9932;3,27;0,21;0,39;9,9;0,12;6
1600;1,6;0,167;0,38;20;94;0,9914;3,11;0,72;0,5;11,4;0,1;6
1601;3,8;0,047;0,38;37;136;0,9938;2,95;0,91;0,4;9,4;0,12;6
1602;8;0,046;0,38;55;223;0,996;3,08;0,82;0,52;10,7;0,1;6
1603;4,7;0,034;0,38;27;77;0,9906;3,28;0,23;0,36;12,7;0,09;5
1604;1,9;0,034;0,38;10;53;0,98815;3,32;0,03;0,5;13,5;0,08;7
1605;2,8;0,048;0,38;39;137;0,9942;3,24;0,20;0,35;9,5;0,12;5
1606;2,2;0,032;0,38;31;113;0,9903;3,37;0,55;0,42;12,9;0,08;9
1607;1,7;0,031;0,38;44;109;0,9906;3,07;0,85;0,46;12,5;0,09;6
1608;4,9;0,04;0,38;44;118;0,9935;3,34;0,38;0,38;9,5;0,11;7
1609;23,5;0,057;0,38;59;235;1,0024;2,98;0,75;0,47;8,6;0,12;5
1610;11,8;0,048;0,38;46;212;0,9968;3,09;0,05;0,46;10;0,11;7
1611;1,7;0,031;0,38;44;109;0,9906;3,07;0,98;0,46;12,5;0,09;6
1612;5,2;0,04;0,38;19;100;0,9941;3,12;0,82;0,34;10,1;0,12;6
1613;3,2;0,027;0,38;28;87;0,9919;3,03;0,71;0,32;11,3;0,09;7
1614;1,5;0,035;0,38;42;120;0,9928;3,26;0,33;0,4;10,6;0,1;7
1615;11,7;0,035;0,38;40;131;0,9958;3,14;0,17;0,34;10,8;0,09;5
1616;1,6;0,047;0,38;42;140;0,9932;3,4;0,86;0,47;10,7;0,1;6
1617;7,3;0,045;0,38;61;206;0,9957;3,09;0,56;0,4;9;0,13;6
1618;1,6;0,065;0,38;17;143;0,9937;3,22;0,47;0,52;9,2;0,12;6
1619;13,3;0,045;0,38;53;243;0,9982;3,14;0,33;0,48;8,5;0,12;6
1620;6;0,029;0,38;31;128;0,9928;3,41;0,91;0,36;11,3;0,1;8
1621;3,2;0,027;0,38;28;87;0,9919;3,03;0,52;0,32;11,3;0,11;7
1622;1,6;0,05;0,38;17;131;0,9956;3,13;0,92;0,34;9,4;0,12;5
1623;7,7;0,045;0,38;16;169;0,9957;3,11;0,89;0,37;8,7;0,12;6
1624;5,9;0,053;0,38;22;118;0,9954;3,36;0,10;0,36;9,4;0,12;6
1625;1;0,039;0,38;46;131;0,993;3,09;0,57;0,51;10,5;0,1;7
1626;6,4;0,037;0,38;37;161;0,9954;3,38;0,97;0,53;9,7;0,11;6
1627;10,4;0,048;0,38;52;195;0,9987;3,31;0,42;0,44;10,2;0,11;6
1628;1,6;0,05;0,38;17;131;0,9956;3,13;0,25;0,34;9,4;0,12;5
1629;3,5;0,057;0,38;14;108;0,9928;3,19;0,14;0,35;11,5;0,09;6
1630;7,7;0,047;0,38;21;98;0,9951;2,94;0,90;0,31;9,6;0,12;6
1631;1,8;0,053;0,38;6;121;0,993;3,23;0,91;0,7;11,4;0,11;5
1632;3,5;0,057;0,38;14;108;0,9928;3,19;0,93;0,35;11,5;0,11;6
1633;6,5;0,041;0,38;28;111;0,9926;3,41;0,90;0,58;12,2;0,1;8
1634;6,7;0,037;0,38;15;110;0,9938;3,2;0,47;0,38;11;0,11;7
1635;16,8;0,048;0,38;50;228;1,0001;3,03;0,08;0,52;9,2;0,11;6
1636;1,6;0,035;0,38;21;126;0,9933;3,26;0,14;0,45;10,2;0,1;6
1637;7;0,043;0,38;29;149;0,9952;3,21;0,92;0,33;10;0,12;5
1638;1,2;0,042;0,38;43;160;0,9934;3,13;0,59;0,48;9,7;0,11;6
1639;13;0,239;0,38;42;220;0,9988;2,96;0,87;0,51;9,2;0,12;5
1640;3,8;0,042;0,38;26;105;0,993;3,1;0,52;0,39;10,5;0,1;5
1641;7;0,043;0,38;29;149;0,9952;3,21;0,71;0,33;10;0,11;5
1642;7,5;0,054;0,38;42;151;0,9948;3,27;0,23;0,52;10,1;0,1;6
1643;15,55;0,058;0,38;50;134;0,9998;3,42;0,64;0,36;9,1;0,12;7
1644;12,3;0,049;0,38;50;144;0,9971;3,09;0,23;0,57;10,2;0,12;7
