ID;fixed acidity;volatile acidity;citric acid
1013;8,3;0,16;0,48
1014;6,2;0,25;0,47
1015;6,1;0,16;0,27
1016;7,6;0,39;0,22
1017;6,8;0,37;0,47
1018;7,6;0,16;0,44
1019;7,1;0,18;0,42
1020;8,3;0,14;0,26
1021;8,6;0,2;0,42
1022;8,6;0,2;0,42
1023;6,8;0,19;0,32
1024;7,6;0,19;0,38
1025;6,8;0,34;0,74
1026;6,2;0,15;0,46
1027;6,6;0,14;0,44
1028;8;0,55;0,17
1029;7;0,24;0,35
1030;6,3;0,6;0,44
1031;7,1;0,2;0,41
1032;6,2;0,34;0,29
1033;7,1;0,3;0,36
1034;7,1;0,3;0,36
1035;7,9;0,64;0,46
1036;8,8;0,17;0,38
1037;7,5;0,17;0,37
1038;7,1;0,47;0,24
1039;7,1;0,15;0,34
1040;7,5;0,17;0,34
1041;8,2;0,68;0,3
1042;7,7;0,275;0,3
1043;7,3;0,49;0,32
1044;7,5;0,33;0,48
1045;7,2;0,21;0,37
1046;7,3;0,15;0,4
1047;6,5;0,19;0,1
1048;7;0,31;0,52
1049;8,3;0,4;0,38
1050;6,1;0,37;0,36
1051;7,3;0,24;0,34
1052;6,9;0,21;0,81
1053;7,6;0,29;0,42
1054;9,4;0,29;0,55
1055;7;0,31;0,52
1056;8,6;0,26;0,41
1057;7,5;0,21;0,34
1058;7,2;0,51;0,24
1059;7,5;0,21;0,34
1060;5,3;0,3;0,2
1061;8;0,26;0,36
1062;7;0,21;0,28
1063;6,7;0,26;0,26
1064;6,7;0,26;0,26
1065;8,1;0,26;0,37
1066;8,3;0,22;0,38
1067;6,4;0,3;0,51
1068;7,5;0,19;0,34
1069;8,8;0,33;0,44
1070;6,9;0,2;0,36
1071;8;0,37;0,32
1072;8,3;0,22;0,38
1073;8,2;0,29;0,33
1074;7,7;0,34;0,3
1075;6,2;0,55;0,45
1076;6,4;0,4;0,19
1077;7,5;0,28;0,33
1078;7,8;0,26;0,44
1079;6,5;0,26;0,34
1080;6,3;0,34;0,29
1081;6,8;0,15;0,33
1082;6,3;0,27;0,25
1083;6,3;0,27;0,25
1084;7,4;0,2;0,37
1085;6,3;0,23;0,21
1086;7,3;0,31;0,69
1087;5,2;0,24;0,45
1088;7;0,24;0,32
1089;7,4;0,2;0,37
1090;7;0,17;0,33
1091;8,3;0,21;0,58
1092;7,2;0,21;0,35
1093;7,1;0,21;0,4
1094;8,4;0,17;0,31
1095;7,4;0,24;0,31
1096;5,3;0,24;0,33
1097;6,5;0,28;0,26
1098;6,3;0,23;0,21
1099;6,5;0,29;0,25
1100;5,8;0,29;0,21
1101;6,3;0,27;0,25
1102;6,3;0,17;0,42
1103;6,3;0,16;0,4
1104;7,9;0,29;0,39
1105;7,3;0,31;0,69
1106;5,5;0,32;0,45
1107;5,2;0,24;0,45
1108;7,2;0,37;0,15
1109;6,1;0,29;0,27
1110;9,2;0,22;0,4
1111;7,2;0,37;0,15
1112;8;0,18;0,37
1113;6,5;0,22;0,34
1114;7,4;0,18;0,4
1115;6,5;0,52;0,17
1116;7;0,15;0,38
1117;5,9;0,415;0,13
1118;8,1;0,45;0,34
1119;5,8;0,415;0,13
1120;6,4;0,5;0,16
1121;6,7;0,105;0,32
1122;6;0,4;0,3
1123;6,6;0,25;0,39
1124;9,8;0,36;0,45
1125;9,6;0,23;0,4
1126;6,3;0,55;0,45
1127;6,5;0,115;0,29
1128;6,4;0,125;0,29
1129;5,7;0,1;0,27
1130;7,9;0,25;0,29
1131;6,9;0,2;0,28
1132;6,9;0,23;0,34
1133;6,8;0,39;0,31
1134;8,7;0,22;0,42
1135;7,4;0,41;0,34
1136;6,7;0,25;0,34
1137;6;0,26;0,42
1138;6,1;0,31;0,37
1139;9,2;0,28;0,46
1140;9;0,31;0,49
1141;8,5;0,16;0,33
1142;9,3;0,34;0,49
1143;9,2;0,28;0,46
1144;7,2;0,24;0,3
1145;7,2;0,25;0,32
1146;6,8;0,32;0,18
1147;9,1;0,27;0,32
1148;8,9;0,34;0,32
1149;7;0,17;0,37
1150;6,7;0,25;0,23
1151;6,9;0,32;0,17
1152;6,8;0,32;0,18
1153;6,1;0,6;0
1154;5,3;0,395;0,07
1155;7,9;0,16;0,3
1156;7,6;0,33;0,36
1157;7,8;0,3;0,29
1158;7,8;0,3;0,29
1159;5,7;0,26;0,27
1160;7,8;0,3;0,29
1161;7,5;0,14;0,34
1162;7,8;0,3;0,29
1163;6,6;0,25;0,41
1164;5,7;0,26;0,27
1165;8,2;0,23;0,49
1166;6;0,24;0,32
1167;6,1;0,45;0,27
1168;7,4;0,23;0,43
1169;7,2;0,2;0,38
1170;7,5;0,14;0,34
1171;7,7;0,25;0,43
1172;8,2;0,61;0,45
1173;7,6;0,21;0,44
1174;7,4;0,22;0,33
1175;7,2;0,26;0,26
1176;6,4;0,25;0,41
1177;6,3;0,32;0,35
1178;6,8;0,25;0,29
1179;9,8;0,44;0,4
1180;7,2;0,2;0,25
1181;8,2;0,61;0,45
1182;7,5;0,42;0,45
1183;7,4;0,22;0,33
1184;6,4;0,26;0,3
1185;7,9;0,46;0,32
1186;6,5;0,41;0,64
1187;7,5;0,32;0,37
1188;6,6;0,21;0,38
1189;7,1;0,21;0,3
1190;7,6;0,26;0,47
1191;7,6;0,21;0,44
1192;6,9;0,25;0,26
1193;7,1;0,26;0,32
1194;7,3;0,22;0,4
1195;6,2;0,37;0,22
1196;7,9;0,22;0,45
1197;6,9;0,25;0,26
1198;7,3;0,22;0,4
1199;7,1;0,26;0,32
1200;7,4;0,25;0,37
1201;6,8;0,18;0,37
1202;7;0,17;0,37
1203;6,4;0,3;0,38
1204;5;0,33;0,16
1205;5;0,33;0,16
1206;8,9;0,33;0,32
1207;7;0,26;0,46
1208;6,4;0,3;0,38
1209;6,3;0,21;0,4
1210;8;0,23;0,46
1211;9,2;0,28;0,41
1212;7,3;0,27;0,39
1213;7,6;0,32;0,36
1214;5;0,33;0,16
1215;9,7;0,24;0,45
1216;8;0,28;0,42
1217;8,2;0,37;0,36
1218;8;0,61;0,38
1219;7,2;0,26;0,44
1220;8,2;0,37;0,36
1221;6,4;0,23;0,33
1222;5,9;0,4;0,32
1223;7,6;0,28;0,39
1224;8;0,28;0,42
1225;7,2;0,23;0,39
1226;6,8;0,32;0,37
1227;7,2;0,23;0,39
1228;6,9;0,18;0,38
1229;9,4;0,26;0,53
1230;8,3;0,33;0,42
1231;7,3;0,29;0,3
1232;7,9;0,41;0,37
1233;7,9;0,44;0,37
1234;7,7;0,39;0,3
1235;7,7;0,26;0,31
1236;7,8;0,32;0,31
1237;6,8;0,32;0,37
1238;7,3;0,24;0,39
1239;7,1;0,44;0,37
1240;10,3;0,25;0,48
1241;7,9;0,14;0,28
1242;7,4;0,18;0,42
1243;8,1;0,43;0,42
1244;7,1;0,44;0,37
1245;6,4;0,26;0,22
1246;8;0,66;0,72
1247;8;0,2;0,4
1248;7,2;0,21;0,34
1249;7,2;0,18;0,31
1250;8,4;0,57;0,44
1251;5,3;0,26;0,23
1252;5,7;0,245;0,33
1253;5,6;0,245;0,32
1254;7,3;0,25;0,41
1255;7;0,16;0,73
1256;6,4;0,22;0,34
1257;7,3;0,18;0,65
1258;6,4;0,17;0,27
1259;6,9;0,29;0,16
1260;6,2;0,21;0,38
1261;6,4;0,23;0,3
1262;7,3;0,19;0,68
1263;7,3;0,18;0,65
1264;9,6;0,29;0,46
1265;7,2;0,14;0,35
1266;6,9;0,31;0,34
1267;7,5;0,28;0,34
1268;8;0,22;0,42
1269;7,6;0,31;0,29
1270;8,4;0,35;0,56
1271;8;0,22;0,42
1272;8,1;0,5;0,47
1273;7;0,39;0,31
1274;8,1;0,5;0,47
1275;8,4;0,35;0,56
1276;6,2;0,22;0,27
1277;8;0,22;0,42
1278;7,6;0,31;0,29
1279;7;0,24;0,36
1280;6,6;0,27;0,3
1281;7,8;0,16;0,41
1282;7,7;0,27;0,34
1283;7,4;0,31;0,74
1284;8;0,45;0,36
1285;7,7;0,27;0,34
1286;7,8;0,16;0,41
1287;6,6;0,16;0,29
1288;8,3;0,21;0,4
1289;7,2;0,32;0,33
1290;6,6;0,16;0,3
1291;8,4;0,16;0,33
1292;7,5;0,23;0,32
1293;6,2;0,17;0,3
1294;6,9;0,39;0,22
1295;6,9;0,41;0,22
1296;7,5;0,23;0,32
1297;7,5;0,38;0,33
1298;7,3;0,42;0,38
1299;7,3;0,34;0,39
1300;7,8;0,23;0,28
1301;9;0,245;0,38
1302;6,9;0,2;0,4
1303;7,4;0,19;0,42
1304;8,2;0,2;0,36
1305;8;0,59;0,71
1306;7,9;0,14;0,45
1307;6,8;0,24;0,4
1308;9,7;0,14;0,59
1309;9,2;0,15;0,68
1310;9,4;0,17;0,55
1311;5,2;0,365;0,08
1312;6,3;0,23;0,22
1313;9,6;0,25;0,54
1314;9,2;0,32;0,42
1315;6,4;0,31;0,4
1316;8,1;0,2;0,36
1317;7,9;0,255;0,26
1318;7;0,15;0,34
1319;6,4;0,15;0,31
1320;6,4;0,25;0,53
1321;7,6;0,19;0,42
1322;7,3;0,43;0,37
1323;5,1;0,31;0,3
1324;6,2;0,2;0,26
1325;6,9;0,16;0,35
1326;7,7;0,32;0,48
1327;6,5;0,22;0,72
1328;6,8;0,26;0,33
1329;5,2;0,37;0,33
1330;8,4;0,19;0,43
1331;8,3;0,21;0,41
1332;6,8;0,15;0,32
1333;7,9;0,16;0,64
1334;7,8;0,21;0,39
1335;9;0,24;0,5
1336;5,7;0,21;0,24
1337;7,8;0,29;0,36
1338;6,7;0,18;0,3
1339;6,7;0,18;0,3
1340;8,4;0,58;0,27
1341;7,2;0,16;0,32
1342;7,6;0,54;0,23
1343;8,4;0,58;0,27
1344;6,6;0,25;0,31
1345;7,3;0,23;0,37
1346;7,3;0,39;0,37
1347;7;0,46;0,39
1348;8,2;0,35;0,4
1349;7,8;0,29;0,36
1350;9,2;0,35;0,39
1351;8;0,57;0,39
1352;6,5;0,37;0,33
1353;5,7;0,21;0,24
1354;6,7;0,18;0,3
1355;7,8;0,13;0,3
1356;7,6;0,19;0,41
1357;7,3;0,22;0,41
1358;6,3;0,29;0,4
1359;6,8;0,35;0,32
1360;6,5;0,19;0,32
1361;6,2;0,12;0,26
1362;6;0,13;0,28
1363;6,4;0,25;0,33
1364;6,9;0,32;0,16
1365;7,6;0,19;0,41
1366;6,7;0,13;0,28
1367;7;0,14;0,41
1368;7,6;0,27;0,24
1369;7,3;0,22;0,41
1370;7,4;0,64;0,47
1371;7,6;0,28;0,39
1372;8,3;0,26;0,41
1373;10,7;0,22;0,56
1374;10,7;0,22;0,56
1375;6,9;0,23;0,34
1376;6,2;0,3;0,32
1377;6,9;0,27;0,41
1378;6,9;0,28;0,41
1379;6,9;0,28;0,3
1380;6,9;0,46;0,2
1381;6,9;0,38;0,32
1382;5,7;0,43;0,3
1383;6,6;0,56;0,16
1384;7,1;0,36;0,56
1385;6,8;0,23;0,4
1386;6,2;0,33;0,29
1387;5,6;0,49;0,13
1388;6,6;0,42;0,33
1389;7,3;0,18;0,29
1390;8,1;0,19;0,4
1391;5,9;0,19;0,26
1392;6,2;0,16;0,47
1393;6,6;0,42;0,33
1394;5,7;0,135;0,3
1395;5,6;0,49;0,13
1396;6,9;0,19;0,33
1397;7,3;0,18;0,29
1398;7,3;0,25;0,36
1399;7,3;0,25;0,36
1400;7;0,2;0,34
1401;7,3;0,25;0,36
1402;6,3;0,67;0,48
1403;7,4;0,4;0,29
1404;7,1;0,26;0,31
1405;9;0,31;0,48
1406;6,3;0,39;0,24
1407;8,2;0,22;0,36
1408;7,1;0,19;0,28
1409;7,3;0,25;0,36
1410;7,9;0,2;0,34
1411;7,1;0,26;0,32
1412;7;0,2;0,34
1413;6,9;0,3;0,33
1414;8,1;0,29;0,49
1415;5,8;0,17;0,3
1416;5,9;0,415;0,02
1417;6,6;0,23;0,26
1418;8,6;0,55;0,35
1419;6,9;0,35;0,74
1420;7,6;0,14;0,74
1421;9,2;0,28;0,49
1422;6,2;0,18;0,49
1423;5,3;0,165;0,24
1424;9,8;0,25;0,74
1425;8,1;0,29;0,49
1426;6,8;0,22;0,49
1427;7,2;0,22;0,49
1428;7,4;0,25;0,49
1429;8,2;0,18;0,49
1430;6,1;0,22;0,49
1431;7;0,39;0,24
1432;6,1;0,22;0,49
1433;6,5;0,36;0,49
1434;7,1;0,29;0,49
1435;7,4;0,25;0,49
1436;6,9;0,23;0,24
1437;8,5;0,56;0,74
1438;8,2;0,18;0,49
1439;6,3;0,23;0,49
1440;6,1;0,25;0,49
1441;7,2;0,26;0,74
1442;7,2;0,31;0,24
1443;8;0,25;0,49
1444;7;0,18;0,49
1445;7,8;0,43;0,49
1446;8,3;0,2;0,74
1447;6,3;0,27;0,49
1448;7,4;0,16;0,49
1449;7,4;0,16;0,49
1450;6,9;0,19;0,49
1451;7,8;0,43;0,49
1452;7,2;0,4;0,49
1453;7,8;0,43;0,49
1454;7,6;0,52;0,49
1455;8,3;0,21;0,49
1456;6,9;0,34;0,74
1457;6,3;0,27;0,49
1458;8,3;0,2;0,74
1459;7,1;0,22;0,74
1460;7,9;0,11;0,49
1461;8,5;0,17;0,74
1462;6,4;0,145;0,49
1463;7,4;0,16;0,49
1464;8,3;0,19;0,49
1465;8;0,44;0,49
1466;7;0,2;0,74
1467;6,9;0,19;0,49
1468;7,1;0,25;0,49
1469;6,5;0,24;0,24
1470;7,2;0,4;0,49
1471;7,6;0,52;0,49
1472;7,8;0,43;0,49
1473;7,8;0,21;0,49
1474;7;0,2;0,49
1475;6,9;0,25;0,24
1476;7,2;0,08;0,49
1477;7,1;0,85;0,49
1478;7,6;0,51;0,24
1479;7,9;0,22;0,24
1480;7,7;0,16;0,49
1481;7,2;0,08;0,49
1482;6,6;0,25;0,24
1483;6,7;0,16;0,49
1484;6,9;0,25;0,24
1485;7,5;0,32;0,24
1486;7,4;0,28;0,49
1487;6,2;0,15;0,49
1488;6,7;0,25;0,74
1489;6,5;0,26;0,74
1490;7,9;0,16;0,74
1491;5,6;0,185;0,49
1492;7,5;0,2;0,49
1493;8;0,3;0,49
1494;8;0,34;0,49
1495;7,7;0,35;0,49
1496;7,6;0,29;0,49
1497;6,7;0,62;0,24
1498;6,8;0,27;0,49
1499;7,7;0,27;0,49
1500;6,7;0,51;0,24
1501;7,4;0,19;0,49
1502;8,3;0,2;0,49
1503;6,6;0,3;0,24
1504;6,8;0,36;0,24
1505;7;0,17;0,74
1506;9,2;0,18;0,49
1507;8,1;0,2;0,49
1508;7,8;0,26;0,74
1509;6,8;0,21;0,49
1510;7,9;0,2;0,49
1511;8;0,18;0,49
1512;8,8;0,23;0,74
1513;7,3;0,22;0,49
1514;7,3;0,22;0,49
1515;7,4;0,19;0,49
1516;7,3;0,155;0,49
1517;8,2;0,22;0,49
1518;8,2;0,24;0,49
1519;8,4;0,23;0,49
1520;8,3;0,2;0,49
1521;8,3;0,2;0,49
1522;6,6;0,3;0,24
1523;6,9;0,21;0,49
1524;8;0,25;0,49
1525;6,6;0,21;0,49
1526;7,2;0,27;0,74
1527;14,2;0,27;0,49
1528;7,9;0,28;0,49
1529;7,4;0,27;0,49
1530;6,6;0,21;0,49
1531;7,2;0,27;0,74
1532;8,1;0,3;0,49
1533;7,5;0,23;0,49
1534;7,3;0,26;0,49
1535;7,1;0,18;0,74
1536;8,5;0,15;0,49
1537;8,9;0,13;0,49
1538;8,1;0,28;0,49
1539;6;0,17;0,49
1540;7,3;0,26;0,49
1541;7,1;0,18;0,74
1542;7,1;0,53;0,24
1543;7,2;0,16;0,49
1544;7,3;0,14;0,49
1545;8,9;0,13;0,49
1546;7,9;0,12;0,49
1547;6,7;0,29;0,49
1548;6,7;0,3;0,49
1549;7,1;0,36;0,24
1550;8,5;0,15;0,49
1551;7,9;0,18;0,49
1552;6,6;0,19;0,99
1553;7,3;0,21;0,49
1554;6,9;0,3;0,49
1555;7,9;0,42;0,49
1556;6,9;0,24;0,49
1557;7,6;0,23;0,49
1558;7,9;0,18;0,49
1559;6,2;0,43;0,49
1560;8,8;0,35;0,49
1561;7,8;0,3;0,74
1562;9,1;0,28;0,49
1563;7,1;0,34;0,49
1564;7,8;0,3;0,74
1565;9,1;0,28;0,49
1566;8,5;0,19;0,49
1567;7,6;0,18;0,49
1568;7,5;0,19;0,49
1569;7,4;0,3;0,49
1570;6,7;0,3;0,74
1571;6,6;0,3;0,74
1572;7,4;0,3;0,49
1573;6,9;0,22;0,49
1574;7,8;0,26;0,49
1575;8,5;0,17;0,49
1576;6,8;0,17;0,74
1577;6,2;0,27;0,49
1578;7,1;0,64;0,49
1579;6,4;0,18;0,74
1580;7,6;0,31;0,49
1581;9,8;0,31;0,49
1582;9;0,3;0,49
1583;8,4;0,24;0,49
1584;6,4;0,18;0,74
1585;6,4;0,25;0,74
1586;7,3;0,3;0,74
1587;9,3;0,31;0,49
1588;6,4;0,25;0,74
1589;7,3;0,3;0,74
1590;7;0,27;0,74
1591;7,9;0,14;0,74
1592;6,4;0,12;0,49
1593;6,8;0,21;0,74
1594;8,6;0,16;0,49
1595;7;0,29;0,49
1596;6,4;0,27;0,49
1597;6,6;0,55;0,01
1598;6,4;0,27;0,49
1599;6,3;0,24;0,74
1600;6,7;0,33;0,49
1601;7;0,29;0,49
1602;8,2;0,34;0,49
1603;5,6;0,39;0,24
1604;5,6;0,41;0,24
1605;6,7;0,41;0,01
1606;7,1;0,26;0,49
1607;7,5;0,32;0,49
1608;5,8;0,19;0,49
1609;6,9;0,27;0,49
1610;8,1;0,2;0,49
1611;7,5;0,32;0,49
1612;8,2;0,26;0,49
1613;7,8;0,26;0,49
1614;8;0,14;0,49
1615;8;0,29;0,49
1616;7,5;0,19;0,49
1617;6,9;0,34;0,49
1618;6,2;0,2;0,49
1619;6,4;0,37;0,49
1620;6,2;0,22;0,49
1621;7,8;0,26;0,49
1622;8,9;0,32;0,49
1623;6,5;0,44;0,49
1624;7;0,14;0,49
1625;9;0,17;0,49
1626;6,4;0,26;0,49
1627;9;0,22;0,49
1628;8,9;0,32;0,49
1629;8,2;0,2;0,49
1630;7,8;0,15;0,24
1631;6,9;0,25;0,24
1632;8,2;0,2;0,49
1633;7,1;0,28;0,49
1634;7,4;0,19;0,49
1635;8,3;0,25;0,49
1636;7,5;0,14;0,74
1637;7,8;0,49;0,49
1638;8,1;0,12;0,49
1639;7,6;0,47;0,49
1640;7,9;0,22;0,49
1641;7,8;0,49;0,49
1642;6,4;0,22;0,49
1643;7,3;0,19;0,49
1644;8,1;0,3;0,49
1645;7,3;0,19;0,49
1646;7,5;0,24;0,49
1647;6,4;0,22;0,49
1648;7,8;0,21;0,49
1649;7,1;0,3;0,49
1650;6,9;0,26;0,49
1651;7,6;0,31;0,49
1652;6,4;0,42;0,74
1653;8,2;0,29;0,49
1654;7,9;0,33;0,28
1655;6,6;0,46;0,49
1656;7,8;0,28;0,49
1657;5,8;0,15;0,49
1658;7,8;0,4;0,49
1659;6,6;0,31;0,49
1660;6,6;0,325;0,49
1661;6,6;0,27;0,49
1662;6,7;0,26;0,49
1663;6,7;0,21;0,49
1664;7,9;0,33;0,28
1665;8,1;0,28;0,46
1666;6,5;0,13;0,37
1667;7,8;0,445;0,56
1668;8,8;0,39;0,34
1669;7,9;0,18;0,33
1670;7,1;0,31;0,38
1671;7,8;0,24;0,18
1672;7;0,35;0,3
1673;6,6;0,26;0,31
1674;6,6;0,27;0,31
1675;6,8;0,22;0,29
1676;6,2;0,27;0,32
1677;7;0,35;0,3
1678;7,3;0,23;0,37
1679;6,2;0,3;0,2
1680;6,4;0,35;0,2
1681;7,6;0,32;0,34
1682;6,3;0,31;0,3
1683;7,2;0,25;0,28
1684;7,2;0,25;0,28
1685;7,3;0,26;0,33
1686;7,2;0,25;0,28
1687;7,4;0,26;0,37
1688;7,3;0,26;0,33
1689;6,7;0,25;0,26
1690;7,1;0,16;0,25
1691;9;0,43;0,3
1692;7,2;0,25;0,28
1693;7;0,24;0,3
1694;6,7;0,265;0,22
1695;7,7;0,12;0,32
1696;7,2;0,21;0,33
1697;8,5;0,32;0,36
1698;6,9;0,18;0,3
1699;7;0,24;0,3
1700;6,3;0,26;0,29
1701;6,7;0,26;0,3
1702;7,9;0,29;0,36
1703;6,5;0,27;0,19
1704;6,7;0,33;0,42
1705;6,7;0,31;0,42
1706;6,6;0,25;0,31
1707;6,4;0,24;0,22
1708;6,8;0,26;0,29
1709;7;0,61;0,26
1710;6,8;0,22;0,3
1711;8,1;0,31;0,24
1712;7;0,2;0,3
1713;7,9;0,18;0,37
1714;6,6;0,34;0,27
1715;6,8;0,3;0,24
1716;6,5;0,18;0,34
1717;7;0,21;0,31
1718;6,8;0,27;0,32
1719;9,3;0,2;0,33
1720;5,8;0,23;0,27
1721;7,6;0,2;0,39
1722;8,2;0,15;0,48
1723;7,5;0,4;1
1724;6,5;0,18;0,34
1725;7;0,13;0,3
1726;6,9;0,17;0,22
1727;7;0,3;0,32
1728;7,6;0,445;0,44
1729;6,8;0,3;0,24
1730;7,5;0,22;0,33
1731;9,2;0,23;0,3
1732;8,7;0,34;0,46
1733;6,6;0,545;0,04
1734;8,1;0,3;0,31
1735;6,9;0,16;0,3
1736;8;0,32;0,36
1737;6,1;0,22;0,23
1738;6,9;0,16;0,3
1739;7,5;0,15;0,38
1740;8,4;0,29;0,29
1741;6,6;0,37;0,47
1742;7,7;0,38;0,4
1743;6,3;0,25;0,23
1744;8,3;0,3;0,36
1745;6,6;0,22;0,58
1746;6,1;0,34;0,31
1747;7,5;0,22;0,29
1748;8,3;0,3;0,36
1749;8;0,27;0,24
1750;6,1;0,17;0,27
1751;7,4;0,18;0,3
1752;6,7;0,16;0,28
1753;6,1;0,255;0,44
1754;7,4;0,23;0,25
1755;6,4;0,16;0,28
1756;6,3;0,25;0,23
1757;6,7;0,27;0,25
1758;6,9;0,29;0,23
1759;9,6;0,21;0,28
1760;6,6;0,62;0,2
1761;6,4;0,28;0,19
1762;8;0,3;0,28
1763;6,4;0,17;0,27
1764;7,3;0,21;0,3
1765;6,7;0,27;0,25
1766;6,9;0,29;0,23
1767;6,6;0,32;0,26
1768;7,4;0,32;0,22
1769;6,6;0,37;0,07
1770;7,7;0,43;0,28
1771;7,8;0,39;0,26
1772;6,5;0,18;0,26
1773;7,8;0,4;0,26
1774;7,8;0,39;0,26
1775;6,9;0,19;0,28
1776;7,7;0,49;1
1777;6,6;0,25;0,35
1778;6,5;0,18;0,26
1779;6,4;0,15;0,36
1780;6,4;0,15;0,36
1781;8,4;0,17;0,31
1782;6,1;0,32;0,37
1783;8,5;0,21;0,26
1784;8,7;0,45;0,4
1785;6,7;0,24;0,29
1786;8,5;0,21;0,26
1787;7,4;0,33;0,26
1788;7,2;0,26;0,3
1789;8,2;0,36;0,29
1790;7,8;0,2;0,24
1791;9,4;0,16;0,3
1792;6,4;0,33;0,24
1793;7,8;0,22;0,36
1794;7,4;0,35;0,31
1795;6,6;0,37;0,24
1796;6,7;0,37;0,41
1797;7,1;0,37;0,32
1798;6,9;0,25;0,27
1799;6,8;0,23;0,29
1800;6,4;0,26;0,21
1801;7,6;0,3;0,22
1802;9,4;0,16;0,23
1803;6,8;0,23;0,29
1804;6,4;0,26;0,21
1805;7,6;0,3;0,22
1806;7,5;0,33;0,39
1807;7,6;0,38;0,2
1808;8,8;0,2;0,43
1809;7,5;0,33;0,39
1810;8,8;0,2;0,43
1811;6,6;0,36;0,21
1812;7,6;0,38;0,2
1813;5,6;0,46;0,24
1814;7,2;0,15;0,38
1815;8,2;0,42;0,29
1816;6,8;0,3;0,35
1817;6,7;0,27;0,3
1818;7,2;0,5;0
1819;6;0,26;0,29
1820;6,8;0,33;0,28
1821;6,8;0,3;0,35
1822;7,4;0,29;0,31
1823;8,2;0,42;0,29
1824;7,3;0,19;0,24
1825;6,5;0,32;0,12
1826;7,1;0,32;0,4
1827;6,5;0,32;0,12
1828;7,3;0,19;0,24
1829;7,3;0,17;0,23
1830;7,7;0,44;0,24
1831;7,7;0,44;0,24
1832;7,4;0,49;0,24
1833;7,7;0,44;0,24
1834;7,4;0,49;0,24
1835;6,4;0,21;0,3
1836;8;0,55;0,42
1837;7;0,19;0,23
1838;7,2;0,24;0,29
1839;6,5;0,34;0,36
1840;7;0,19;0,23
1841;6,9;0,18;0,33
1842;7,2;0,24;0,29
1843;8,2;0,18;0,31
1844;8,3;0,28;0,45
1845;6,1;0,34;0,46
1846;7,4;0,44;0,2
1847;7,6;0,26;0,58
1848;7,4;0,44;0,2
1849;8,7;0,49;0,57
1850;7;0,24;0,25
1851;7,1;0,25;0,25
1852;6,1;0,34;0,46
1853;6,4;0,18;0,31
1854;8,3;0,27;0,39
1855;6,8;0,24;0,35
1856;8;0,22;0,28
1857;10;0,91;0,42
1858;8,9;0,34;0,34
1859;8,9;0,33;0,34
1860;8;0,22;0,28
1861;6,7;0,18;0,19
1862;7,8;0,2;0,28
1863;7,3;0,13;0,31
1864;6,6;0,28;0,3
1865;7,1;0,25;0,3
1866;7,6;0,36;0,44
1867;7,6;0,27;0,25
1868;6,9;0,37;0,28
1869;7,4;0,21;0,27
1870;8,2;0,18;0,28
1871;6,3;0,19;0,21
1872;7;0,21;0,22
1873;5,8;0,33;0,2
1874;5,8;0,33;0,2
1875;7,9;0,29;0,31
1876;6,6;0,31;0,38
1877;8;0,19;0,3
1878;8;0,2;0,36
1879;8;0,25;0,26
1880;7,2;0,2;0,61
1881;7,7;0,3;0,42
1882;7,2;0,2;0,61
1883;7,7;0,3;0,42
1884;7,7;0,3;0,42
1885;6,4;0,22;0,32
1886;7,2;0,2;0,61
1887;7;0,53;0,02
1888;7,3;0,24;0,41
1889;7,2;0,24;0,4
1890;7,6;0,15;0,4
1891;7,7;0,3;0,42
1892;7,6;0,33;0,41
1893;6,8;0,24;0,31
1894;6,8;0,24;0,31
1895;6,8;0,35;0,44
1896;7,9;0,26;0,33
1897;7,5;0,29;0,67
1898;7,5;0,29;0,67
1899;7,2;0,31;0,41
1900;6,7;0,44;0,31
1901;10;0,23;0,27
1902;7,4;0,21;0,3
1903;8,8;0,23;0,35
1904;7,8;0,34;0,27
1905;7,9;0,26;0,33
1906;7,5;0,29;0,67
1907;6;0,28;0,35
1908;7,9;0,37;0,3
1909;7,2;0,36;0,36
1910;7,6;0,13;0,34
1911;6,6;0,25;0,36
1912;7,1;0,18;0,26
1913;7,9;0,3;0,27
1914;8,3;0,23;0,3
1915;6,8;0,43;0,3
1916;7,2;0,36;0,36
1917;6,6;0,25;0,36
1918;7,1;0,18;0,26
1919;6,6;0,35;0,29
1920;7,3;0,22;0,5
1921;8,1;0,26;0,33
1922;7,6;0,13;0,34
1923;7;0,12;0,19
1924;8,2;0,37;0,27
1925;7,6;0,26;0,36
1926;6,3;0,2;0,58
1927;6,3;0,22;0,57
1928;7,1;0,25;0,28
1929;7;0,27;0,32
1930;8,8;0,34;0,33
1931;9,2;0,27;0,34
1932;7,1;0,49;0,22
1933;9,2;0,71;0,23
1934;7,2;0,47;0,65
1935;6,8;0,28;0,36
1936;8,8;0,34;0,33
1937;9,2;0,27;0,34
1938;7,3;0,13;0,27
1939;7,2;0,16;0,35
1940;6,8;0,31;0,32
1941;8,3;0,36;0,57
1942;6,8;0,31;0,32
1943;8,3;0,36;0,57
1944;6,3;0,25;0,44
1945;6;0,45;0,42
1946;8,1;0,26;0,3
1947;6,4;0,22;0,32
1948;5,7;0,45;0,42
1949;7,2;0,19;0,31
1950;6,7;0,31;0,44
1951;8;0,25;0,13
1952;9,9;1,005;0,46
1953;8,1;0,31;0,36
1954;8,1;0,24;0,38
1955;8;0,25;0,13
1956;6,4;0,29;0,28
1957;7,2;0,15;0,33
